timestamp,scenario,intersection_id,direction,density,queue,avg_speed,flow,capacity,phase
95.0,normal,C,E,0.08,0.0,11.14,12.0,50.0,0.0
95.0,normal,C,W,0.06,0.0,6.81,12.0,50.0,0.0
100.0,normal,C,N,0.1,0.0,6.98,8.0,50.0,0.0
100.0,normal,C,S,0.16,2.0,4.4,8.0,50.0,0.0
100.0,normal,C,E,0.1,1.0,9.61,12.0,50.0,0.0
100.0,normal,C,W,0.06,1.0,9.32,8.0,50.0,0.0
105.0,normal,C,N,0.06,0.0,11.9,14.0,50.0,0.0
105.0,normal,C,S,0.12,0.0,7.55,14.0,50.0,0.0
105.0,normal,C,E,0.12,1.0,8.28,8.0,50.0,0.0
105.0,normal,C,W,0.08,2.0,6.73,8.0,50.0,0.0
110.0,normal,C,N,0.04,0.0,13.53,16.0,50.0,0.0
110.0,normal,C,S,0.1,0.0,11.15,18.0,50.0,0.0
110.0,normal,C,E,0.12,3.0,2.72,4.0,50.0,0.0
110.0,normal,C,W,0.1,3.0,4.02,6.0,50.0,0.0
115.0,normal,C,N,0.04,0.0,12.52,18.0,50.0,0.0
115.0,normal,C,S,0.04,0.0,12.7,24.0,50.0,0.0
115.0,normal,C,E,0.14,5.0,2.62,2.0,50.0,0.0
115.0,normal,C,W,0.1,3.0,4.26,4.0,50.0,0.0
120.0,normal,C,N,0.04,0.0,12.98,18.0,50.0,0.0
120.0,normal,C,S,0.04,0.0,14.26,26.0,50.0,0.0
120.0,normal,C,E,0.16,6.0,2.29,2.0,50.0,0.0
120.0,normal,C,W,0.12,4.0,3.46,2.0,50.0,0.0
125.0,normal,C,N,0.04,0.0,12.97,20.0,50.0,0.0
125.0,normal,C,S,0.02,0.0,13.87,28.0,50.0,0.0
125.0,normal,C,E,0.18,6.0,3.4,0.0,50.0,0.0
125.0,normal,C,W,0.14,4.0,2.68,0.0,50.0,0.0
130.0,normal,C,N,0.06,0.0,13.38,18.0,50.0,0.0
130.0,normal,C,S,0.04,0.0,13.16,24.0,50.0,0.0
130.0,normal,C,E,0.2,7.0,3.04,0.0,50.0,0.0
130.0,normal,C,W,0.14,5.0,3.27,0.0,50.0,0.0
135.0,normal,C,N,0.06,0.0,12.31,14.0,50.0,1.0
135.0,normal,C,S,0.04,0.0,13.53,22.0,50.0,1.0
135.0,normal,C,E,0.2,8.0,1.73,0.0,50.0,1.0
135.0,normal,C,W,0.16,6.0,2.83,0.0,50.0,1.0
140.0,normal,C,N,0.08,1.0,9.59,8.0,50.0,2.0
140.0,normal,C,S,0.04,0.0,13.42,16.0,50.0,2.0
140.0,normal,C,E,0.18,5.0,2.15,4.0,50.0,2.0
140.0,normal,C,W,0.14,2.0,4.15,4.0,50.0,2.0
145.0,normal,C,N,0.08,2.0,3.38,6.0,50.0,2.0
145.0,normal,C,S,0.06,1.0,7.51,12.0,50.0,2.0
145.0,normal,C,E,0.16,2.0,4.87,8.0,50.0,2.0
145.0,normal,C,W,0.12,0.0,8.06,8.0,50.0,2.0
150.0,normal,C,N,0.1,3.0,4.5,4.0,50.0,2.0
150.0,normal,C,S,0.06,1.0,5.07,6.0,50.0,2.0
150.0,normal,C,E,0.1,0.0,8.9,14.0,50.0,2.0
150.0,normal,C,W,0.08,0.0,13.13,14.0,50.0,2.0
155.0,normal,C,N,0.1,4.0,2.63,4.0,50.0,2.0
155.0,normal,C,S,0.08,2.0,6.08,4.0,50.0,2.0
155.0,normal,C,E,0.06,0.0,13.1,20.0,50.0,2.0
155.0,normal,C,W,0.06,0.0,12.62,18.0,50.0,2.0
160.0,normal,C,N,0.12,4.0,3.57,2.0,50.0,2.0
160.0,normal,C,S,0.08,3.0,3.06,2.0,50.0,2.0
160.0,normal,C,E,0.04,0.0,12.98,22.0,50.0,2.0
160.0,normal,C,W,0.06,0.0,12.36,20.0,50.0,2.0
165.0,normal,C,N,0.14,5.0,2.79,0.0,50.0,2.0
165.0,normal,C,S,0.1,3.0,4.65,2.0,50.0,2.0
165.0,normal,C,E,0.04,0.0,13.04,24.0,50.0,2.0
165.0,normal,C,W,0.04,0.0,12.12,22.0,50.0,2.0
170.0,normal,C,N,0.14,5.0,2.13,0.0,50.0,2.0
170.0,normal,C,S,0.12,4.0,2.56,0.0,50.0,2.0
170.0,normal,C,E,0.04,0.0,14.15,26.0,50.0,2.0
170.0,normal,C,W,0.06,0.0,13.0,22.0,50.0,2.0
175.0,normal,C,N,0.16,6.0,2.4,0.0,50.0,2.0
175.0,normal,C,S,0.12,4.0,3.71,0.0,50.0,2.0
175.0,normal,C,E,0.04,0.0,13.65,22.0,50.0,2.0
175.0,normal,C,W,0.04,0.0,14.02,22.0,50.0,2.0
180.0,normal,C,N,0.16,7.0,1.66,0.0,50.0,3.0
180.0,normal,C,S,0.14,5.0,2.85,0.0,50.0,3.0
180.0,normal,C,E,0.04,0.0,13.35,20.0,50.0,3.0
180.0,normal,C,W,0.04,0.0,10.85,18.0,50.0,3.0
185.0,normal,C,N,0.14,2.0,4.01,4.0,50.0,0.0
185.0,normal,C,S,0.1,1.0,4.36,4.0,50.0,0.0
185.0,normal,C,E,0.06,1.0,6.12,14.0,50.0,0.0
185.0,normal,C,W,0.06,1.0,8.77,12.0,50.0,0.0
190.0,normal,C,N,0.12,0.0,7.35,8.0,50.0,0.0
190.0,normal,C,S,0.08,0.0,9.58,8.0,50.0,0.0
190.0,normal,C,E,0.08,1.0,9.61,8.0,50.0,0.0
190.0,normal,C,W,0.08,1.0,5.47,8.0,50.0,0.0
195.0,normal,C,N,0.06,0.0,11.19,14.0,50.0,0.0
195.0,normal,C,S,0.04,0.0,12.95,14.0,50.0,0.0
195.0,normal,C,E,0.1,2.0,7.6,6.0,50.0,0.0
195.0,normal,C,W,0.08,2.0,4.31,6.0,50.0,0.0
200.0,normal,C,N,0.04,0.0,15.06,18.0,50.0,0.0
200.0,normal,C,S,0.04,0.0,13.57,14.0,50.0,0.0
200.0,normal,C,E,0.1,3.0,4.67,4.0,50.0,0.0
200.0,normal,C,W,0.1,3.0,4.69,4.0,50.0,0.0
